canonical_skill,category,introduction,business_scenario
Networking,Architecture / Systems,Networking 是一种系统设计相关能力，用于构建可靠软件并分析系统在规模增长时的运行行为。,团队在设计需要兼顾性能、准确性和可维护性的业务平台时，通常会应用 Networking 来做技术取舍。
Network Protocol,Architecture / Systems,Network Protocol 是一种系统设计相关能力，用于构建可靠软件并分析系统在规模增长时的运行行为。,团队在设计需要兼顾性能、准确性和可维护性的业务平台时，通常会应用 Network Protocol 来做技术取舍。
Large-Scale Systems,Architecture / Systems,Large-Scale Systems 是一种系统设计相关能力，用于构建可靠软件并分析系统在规模增长时的运行行为。,团队在设计需要兼顾性能、准确性和可维护性的业务平台时，通常会应用 Large-Scale Systems 来做技术取舍。
Git,Quality & Workflow,Git 是版本控制系统，用于追踪代码变更并支持团队协作开发。,团队可以用 Git 管理功能开发、隔离缺陷修复，并保留一份清晰可靠的生产变更历史。
Scrum,Quality & Workflow,Scrum 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Scrum 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Unit Testing,Quality & Workflow,Unit Testing 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Unit Testing 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Jira,Quality & Workflow,Jira 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Jira 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
TDD,Quality & Workflow,TDD 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 TDD 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Agile,Quality & Workflow,Agile 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Agile 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
pytest,Quality & Workflow,pytest 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 pytest 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
JUnit,Quality & Workflow,JUnit 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 JUnit 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Code Review,Quality & Workflow,Code Review 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Code Review 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Playwright,Quality & Workflow,Playwright 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Playwright 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Software Test Engineering,Quality & Workflow,Software Test Engineering 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Software Test Engineering 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Selenium,Quality & Workflow,Selenium 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Selenium 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Design Review,Quality & Workflow,Design Review 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Design Review 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Cypress,Quality & Workflow,Cypress 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Cypress 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Jest,Quality & Workflow,Jest 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Jest 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
Visual Studio,Quality & Workflow,Visual Studio 是一种质量保障或交付协作实践，用于提升研发执行效率并减少缺陷。,团队可以用 Visual Studio 做代码评审、发布验证，或组织日常交付流程，让产品与运营需求更稳定地落地。
